log[ projectile_energy / GeV ],xs_production [mb]
1.8,96.49618736481355
2.0,99.59574126003567
2.2,102.6337651396408
2.4,105.6911797505415
2.6,108.76426291875546
2.8,111.84914989249924
3.0,114.94184006151386
3.2,117.8738132985443
3.4,120.88102757399388
3.6,123.96542519071183
3.8,127.12899888314432
4.0,130.37379313428585
4.2,133.61354569003552
4.4,136.97958692445127
4.6,140.47737746813976
4.8,144.1126502832164
5.0,147.89142538315645
5.2,151.8574034364932
5.4,155.96267135802407
5.6,160.21275231060073
5.8,164.6134123778292
6.0,169.17067212219843
6.2,174.05606441862113
6.4,179.03531761483413
6.6,184.10845331319146
6.8,189.27541841357396
7.0,194.53608305360558
