log[ projectile_energy / GeV ],xs_production [mb]
0.8,226.0927562807168
1.0,231.75334749785702
1.2,237.3068868201486
1.4,242.84712543289334
1.6,248.36699993911674
1.8,253.8593214627701
2.0,259.18889357077626
2.2,264.3717956297806
2.4,269.64180889142955
2.6,275.00001732444645
2.8,280.44751009212115
3.0,285.9220782229447
3.2,291.43660632599006
3.4,297.11144220868874
3.6,302.95178871208805
3.8,308.96304153122105
4.0,315.1739656460484
4.2,321.58610331159406
4.4,328.1618166755428
4.6,334.9057916114836
4.8,341.8228615278386
5.0,349.01738138918347
5.2,356.4764418170939
5.4,364.0179175706758
5.6,371.6403287990054
5.8,379.34211262058636
6.0,387.1943757725024
6.2,395.1820391404786
6.4,403.1660546166246
6.6,411.13961298378746
6.8,419.0957821510617
7.0,427.0420226308848
