log[ projectile_energy / GeV ],xs_production [mb]
0.8,496.4798345851777
1.0,503.7244069983003
1.2,510.07481835276764
1.4,516.625334650741
1.6,523.3815901788812
1.8,530.3494366320385
2.0,537.4248277049004
2.2,544.636366103946
2.4,552.1970810478538
2.6,560.1187829578237
2.8,568.4139477154858
3.0,577.9413875017681
3.2,588.5518826451456
3.4,598.6686621319984
3.6,608.2597961626248
3.8,617.2946512354612
4.0,624.6472514474242
4.2,630.5200380931868
4.4,636.941778733148
4.6,643.9280787410869
4.8,651.4960295078986
5.0,660.5255779553642
5.2,670.8647692220264
5.4,680.9188388952527
5.6,690.6702246041036
5.8,700.1017066471477
6.0,708.3015170950802
6.2,715.4403492456066
6.4,723.1783340632228
6.6,731.5333031716092
6.8,740.5246456285205
7.0,751.0883868019539
