log[ projectile_energy / GeV ],xs_production [mb]
0.0,287.01025685614303
0.2,290.80191374640816
0.4,280.165768122158
0.6,282.1001469566674
0.8,283.60624748136894
1.0,282.903493814116
1.2,275.41079028053906
1.4,273.65430241557095
1.6,277.3479697003423
1.8,283.84528860344227
2.0,283.8544932454084
2.2,284.49829714297596
2.4,286.35293071276027
2.6,284.08905883767994
2.8,279.45142897470254
3.0,287.974402067725
3.2,283.6553385173911
3.4,290.5780115960569
3.6,277.6116474701418
3.8,279.4320684745971
4.0,284.0354296039697
4.2,284.9241228690766
4.4,282.81726048324276
4.6,294.92562060365964
4.8,282.80657027451207
5.0,279.75517623135437
5.2,289.7066715955266
5.4,282.48015490880545
5.6,282.360723701195
5.8,274.8703212072005
6.0,284.13338523721654
6.2,285.42594587338493
6.4,280.14328224338436
6.6,273.9961136833919
6.8,274.3094445424268
7.0,280.36971810521067
