log[ projectile_energy / GeV ],xs_production [mb]
0.0,232.22820378700845
0.2,230.40872142467694
0.4,235.1048672654086
0.6,227.98458647410575
0.8,237.10117545426326
1.0,234.08991818698598
1.2,224.0690972520963
1.4,232.07767183473447
1.6,228.4650640945811
1.8,229.1205267558714
2.0,233.384671546383
2.2,233.16334959926584
2.4,234.03053291746104
2.6,237.92759703237238
2.8,230.2604516283555
3.0,232.79828822971908
3.2,235.24020289273076
3.4,235.02284268440312
3.6,232.93401912227333
3.8,234.4968753673415
4.0,231.93095237035436
4.2,233.22819589903202
4.4,231.91710149631763
4.6,231.555980188065
4.8,232.72787506719197
5.0,227.9292389952658
5.2,231.91690584996482
5.4,231.03734256998945
5.6,228.8608630499751
5.8,234.11948552031845
6.0,232.4360240817689
6.2,229.75606100151387
6.4,232.27264619920464
6.6,232.6678588628772
6.8,232.20891457942304
7.0,236.4597432285908
